Ultrasonic distance measurement system
(4 ultrasonic channels + 4 ADC inputs)

Frequency: 400 Hz
Period:     10 sec

[   A     B     C     D     In1   In2   In3   In4  ]

5188,44 0 0 0 25189 18493 0 108 
5188,52 0 0 0 24613 18528 0 108 
5188,75 0 0 0 24330 18554 0 108 
5189,45 0 0 0 24253 18565 0 106 
5190,27 0 0 0 24456 18575 0 107 
5191,55 0 0 0 25133 18586 0 106 
5191,67 0 0 0 25658 18620 0 108 
5191,25 0 0 0 25771 18598 0 107 
5190,88 0 0 0 25356 18607 0 106 
5191,13 0 0 0 24806 18638 0 107 
5191,96 0 0 0 24624 18611 0 106 
5191,61 0 0 0 24914 18616 0 107 
5191,32 0 0 0 25244 18599 0 107 
5191 0 0 0 25561 18579 0 108 
5190,88 0 0 0 25579 18566 0 109 
5191,87 0 0 0 25397 18551 0 106 
5191,93 0 0 0 25042 18559 0 107 
5191,61 0 0 0 24621 18563 0 107 
5191,23 0 0 0 24275 18560 0 109 
5191,08 0 0 0 24288 18549 0 107 
5191,75 0 0 0 24498 18568 0 107 
5191,98 0 0 0 25021 18569 0 108 
5191,75 0 0 0 25261 18604 0 106 
5190,55 0 0 0 25096 18615 0 107 
5189,53 0 0 0 24629 18602 0 108 
5189,56 0 0 0 24079 18637 0 107 
5189,67 0 0 0 23772 18633 0 105 
5189,91 0 0 0 24116 18650 0 107 
5189,09 0 0 0 24764 18640 0 106 
5187,96 0 0 0 25270 18669 0 107 
5186,82 0 0 0 25326 18630 0 109 
5186,5 0 0 0 24940 18638 0 108 
5186,73 0 0 0 24478 18617 0 110 
5186,53 0 0 0 24336 18623 0 107 
5186,06 0 0 0 24306 18586 0 108 
5185,46 0 0 0 24205 18583 0 108 
5185,43 0 0 0 24846 18610 0 107 
5186,06 0 0 0 25879 18592 0 106 
5186,43 0 0 0 26804 18612 0 108 
5186,74 0 0 0 27790 18598 0 107 
5185,91 0 0 0 29192 18600 0 106 
5186,14 0 0 0 31030 18596 0 107 
5186,71 0 0 0 33790 18632 0 108 
5187,86 0 0 0 37144 18608 0 106 
5188,31 0 0 0 40438 18644 0 107 
5188,32 0 0 0 42859 18639 0 106 
5188,22 0 0 0 43778 18652 0 106 
5187,95 0 0 0 42828 18707 0 107 
5188,86 0 0 0 40913 18710 0 108 
5189,6 0 0 0 38268 18749 0 107 
5189,73 0 0 0 34963 18736 0 107 
5189,31 0 0 0 31634 18788 0 108 
5189,1 0 0 0 28774 18784 0 107 
5189,97 0 0 0 26447 18803 0 108 
5191,13 0 0 0 24545 18822 0 108 
5191,95 0 0 0 23030 18821 0 107 
5191,68 0 0 0 21876 18840 0 107 
5190,97 0 0 0 20973 18866 0 108 
5191,36 0 0 0 20521 18866 0 108 
5192,18 0 0 0 21057 18904 0 108 
5192,8 0 0 0 21715 18906 0 106 
5192,56 0 0 0 22305 18911 0 108 
5191,57 0 0 0 22690 18913 0 108 
5190,78 0 0 0 22651 18892 0 107 
5190,72 0 0 0 22508 18898 0 106 
5191,55 0 0 0 22047 18908 0 108 
5191,58 0 0 0 21765 18888 0 106 
5190,87 0 0 0 22000 18916 0 107 
5189,95 0 0 0 22282 18918 0 108 
5189,23 0 0 0 22665 18912 0 107 
5189,53 0 0 0 22929 18920 0 108 
5189,66 0 0 0 22918 18934 0 107 
5189,54 0 0 0 22526 18960 0 106 
5188,43 0 0 0 21948 18938 0 106 
5187,66 0 0 0 21746 18925 0 108 
5187,34 0 0 0 21979 18931 0 106 
5187,48 0 0 0 22547 18919 0 111 
5188,35 0 0 0 23209 18946 0 107 
5188,05 0 0 0 23594 18948 0 108 
5187,27 0 0 0 23337 18958 0 107 
5185,91 0 0 0 23064 18976 0 105 
5185,56 0 0 0 22840 18979 0 109 
5185,71 0 0 0 22576 18977 0 108 
5185,7 0 0 0 22576 18959 0 107 
5185,04 0 0 0 23100 18965 0 109 
5183,79 0 0 0 23720 18971 0 108 
5183,08 0 0 0 24243 18962 0 106 
5182,74 0 0 0 24122 18936 0 107 
5182,92 0 0 0 23454 18962 0 108 
5182,44 0 0 0 22855 18940 0 107 
5180,59 0 0 0 22424 18928 0 107 
5179,56 0 0 0 22069 18913 0 108 
5178,26 0 0 0 22394 18930 0 107 
5178,07 0 0 0 23472 18916 0 107 
5177,18 0 0 0 24398 18900 0 106 
5175,72 0 0 0 24624 18884 0 108 
5173,38 0 0 0 24236 18889 0 104 
5170,93 0 0 0 23813 18891 0 108 
5169,57 0 0 0 23435 18918 0 107 
5167,59 0 0 0 23563 18903 0 110 
5166,21 0 0 0 23904 18896 0 106 
5164 0 0 0 24256 18895 0 106 
5161,4 0 0 0 24606 18873 0 108 
5159,5 0 0 0 24624 18877 0 107 
5157,9 0 0 0 24204 18881 0 107 
5157,22 0 0 0 23730 18884 0 107 
5156,45 0 0 0 23366 18870 0 107 
5155,11 0 0 0 23506 18869 0 107 
5153,65 0 0 0 24155 18916 0 107 
5152,58 0 0 0 24823 18940 0 106 
5153,16 0 0 0 25278 18945 0 106 
5152,64 0 0 0 25166 18984 0 109 
5151,82 0 0 0 24544 19001 0 102 
5150,12 0 0 0 24115 19074 0 107 
5148,92 0 0 0 24059 19104 0 106 
5148,98 0 0 0 24065 19152 0 107 
5149,14 0 0 0 24288 19211 0 106 
5148,95 0 0 0 24780 19283 0 105 
5148,27 0 0 0 25256 19363 0 107 
5147,65 0 0 0 25464 19420 0 107 
5147,69 0 0 0 24973 19482 0 105 
5148,27 0 0 0 24151 19585 0 108 
5149,17 0 0 0 23682 19674 0 107 
5149,63 0 0 0 23794 19768 0 106 
5150,14 0 0 0 24461 19868 0 107 
5150,01 0 0 0 24964 19955 0 108 
5150,97 0 0 0 25477 20064 0 108 
5152,02 0 0 0 25702 20137 0 106 
5153,63 0 0 0 25662 20240 0 108 
5154,62 0 0 0 25349 20324 0 108 
5155,17 0 0 0 25063 20401 0 107 
5156,06 0 0 0 25031 20493 0 106 
5157,39 0 0 0 25324 20571 0 107 
5159,04 0 0 0 25521 20653 0 106 
5160,29 0 0 0 25682 20708 0 107 
5160,83 0 0 0 25792 20784 0 107 
5162,36 0 0 0 25623 20808 0 107 
5164,03 0 0 0 25334 20898 0 106 
5166,02 0 0 0 25368 20988 0 108 
5167,1 0 0 0 25835 21034 0 107 
5167,64 0 0 0 26524 21105 0 108 
5168,51 0 0 0 27247 21175 0 108 
5169,81 0 0 0 27672 21210 0 108 
5171,31 0 0 0 27698 21280 0 107 
5172,05 0 0 0 27190 21340 0 106 
5171,86 0 0 0 26522 21424 0 108 
5172,47 0 0 0 26161 21463 0 108 
5172,61 0 0 0 26567 21538 0 108 
5173,26 0 0 0 27168 21568 0 109 
5173,68 0 0 0 28001 21622 0 107 
5174,15 0 0 0 28564 21686 0 107 
5173,86 0 0 0 28607 21712 0 106 
5173,14 0 0 0 28025 21768 0 106 
5173,11 0 0 0 27146 21782 0 107 
5173,21 0 0 0 27006 21831 0 106 
5173,64 0 0 0 26978 21884 0 109 
5172,34 0 0 0 27370 21889 0 106 
5170,87 0 0 0 28386 21952 0 107 
5169,92 0 0 0 29012 21971 0 107 
5169,47 0 0 0 28875 21983 0 109 
5169,67 0 0 0 28151 22016 0 107 
5169,13 0 0 0 27470 22032 0 106 
5167,86 0 0 0 27363 22056 0 107 
5166,38 0 0 0 27762 22061 0 108 
5164,63 0 0 0 28294 22115 0 106 
5164,25 0 0 0 28584 22128 0 107 
5163,7 0 0 0 28744 22207 0 106 
5163,52 0 0 0 28571 22231 0 106 
5162,25 0 0 0 27680 22259 0 107 
5160,75 0 0 0 26554 22346 0 106 
5159,58 0 0 0 25949 22371 0 106 
5158,9 0 0 0 25861 22446 0 106 
5158,93 0 0 0 25863 22510 0 107 
5158,44 0 0 0 26350 22588 0 107 
5157,86 0 0 0 26775 22662 0 107 
5156,99 0 0 0 26664 22740 0 106 
5155,93 0 0 0 26000 22838 0 106 
5156,12 0 0 0 24962 22937 0 107 
5156,39 0 0 0 24562 23004 0 107 
5156,33 0 0 0 25020 23083 0 108 
5155,63 0 0 0 25276 23185 0 106 
5154,62 0 0 0 25402 23270 0 108 
5154,22 0 0 0 25279 23371 0 108 
5154,42 0 0 0 24864 23449 0 106 
5155,28 0 0 0 24360 23548 0 106 
5155,08 0 0 0 23828 23614 0 105 
5154,49 0 0 0 23317 23652 0 108 
5153,67 0 0 0 23410 23725 0 108 
5153,1 0 0 0 23693 23772 0 108 
5153,18 0 0 0 24031 23840 0 107 
5153,92 0 0 0 24318 23878 0 106 
5154,18 0 0 0 24182 23893 0 107 
5153,84 0 0 0 23795 23908 0 107 
5153,58 0 0 0 23229 23922 0 107 
5153,45 0 0 0 22821 23966 0 105 
5154,19 0 0 0 22832 23950 0 109 
5154,94 0 0 0 23427 23987 0 106 
5155,49 0 0 0 24034 23954 0 106 
5155,6 0 0 0 24464 23984 0 107 
5155,51 0 0 0 24452 23952 0 106 
5156,35 0 0 0 23844 23965 0 105 
5157,28 0 0 0 23114 23948 0 107 
5158,24 0 0 0 23026 23941 0 108 
5159,07 0 0 0 23180 23883 0 107 
5159,07 0 0 0 23797 23898 0 108 
5159,24 0 0 0 24636 23871 0 107 
5160 0 0 0 25045 23846 0 107 
5161,49 0 0 0 24830 23794 0 107 
5162,76 0 0 0 24324 23748 0 107 
5163,67 0 0 0 23650 23697 0 106 
5163,88 0 0 0 23085 23636 0 107 
5163,68 0 0 0 23154 23565 0 106 
5164,19 0 0 0 23604 23481 0 107 
5164,46 0 0 0 24302 23398 0 108 
5165,18 0 0 0 24782 23311 0 106 
5164,82 0 0 0 24944 23204 0 106 
5164,02 0 0 0 24544 23111 0 106 
5163,13 0 0 0 23734 23008 0 106 
5162,57 0 0 0 23208 22908 0 107 
5162,81 0 0 0 23082 22805 0 107 
5162,58 0 0 0 23624 22672 0 107 
5162,24 0 0 0 24284 22554 0 107 
5161,11 0 0 0 24490 22469 0 107 
5160,25 0 0 0 24416 22307 0 107 
5159,54 0 0 0 24195 22196 0 106 
5159,3 0 0 0 23796 22078 0 107 
5159,21 0 0 0 23430 21960 0 109 
5158,54 0 0 0 23544 21848 0 106 
5157,71 0 0 0 24006 21752 0 107 
5156,52 0 0 0 24330 21620 0 106 
5155,92 0 0 0 24597 21507 0 107 
5155,83 0 0 0 24857 21374 0 107 
5154,76 0 0 0 24752 21250 0 107 
5153,72 0 0 0 24358 21140 0 105 
5151,88 0 0 0 24107 21059 0 106 
5150,56 0 0 0 24137 20929 0 107 
5149,75 0 0 0 24432 20827 0 107 
5149,32 0 0 0 24983 20723 0 107 
5148,74 0 0 0 25067 20620 0 104 
5147,17 0 0 0 24838 20541 0 107 
5145,96 0 0 0 24479 20438 0 107 
5144,72 0 0 0 23814 20357 0 109 
5144,57 0 0 0 23484 20283 0 106 
5144,41 0 0 0 23848 20212 0 108 
5144,51 0 0 0 24424 20155 0 106 
5143,82 0 0 0 24991 20078 0 109 
5142,92 0 0 0 25262 20002 0 108 
5142,33 0 0 0 25263 19964 0 107 
5142,06 0 0 0 24948 19901 0 108 
5142,46 0 0 0 24595 19840 0 107 
5142,25 0 0 0 24278 19798 0 106 
5141,6 0 0 0 24191 19744 0 107 
5140,93 0 0 0 24728 19698 0 108 
5140,01 0 0 0 25464 19659 0 107 
5140,02 0 0 0 25933 19608 0 107 
5139,84 0 0 0 25962 19559 0 107 
5140,38 0 0 0 25172 19506 0 107 
5140,21 0 0 0 24203 19519 0 107 
5139,5 0 0 0 23623 19432 0 107 
5138,57 0 0 0 23870 19396 0 108 
5138,14 0 0 0 24576 19371 0 109 
5138,65 0 0 0 25274 19334 0 108 
5139,07 0 0 0 25815 19293 0 105 
5139,21 0 0 0 25815 19267 0 106 
5138,91 0 0 0 25507 19222 0 108 
5138,64 0 0 0 24779 19190 0 107 
5138,71 0 0 0 24488 19173 0 106 
5139,17 0 0 0 24490 19158 0 106 
5139,48 0 0 0 24910 19108 0 106 
5138,9 0 0 0 25384 19114 0 108 
5138,25 0 0 0 25618 19078 0 108 
5138,2 0 0 0 25589 19071 0 107 
5138,5 0 0 0 25181 19044 0 109 
5139,23 0 0 0 24618 18996 0 107 
5139,08 0 0 0 24404 18995 0 106 
5138,58 0 0 0 24612 18978 0 108 
5137,7 0 0 0 25201 18940 0 107 
5137,65 0 0 0 25630 18922 0 107 
5138,13 0 0 0 25583 18904 0 106 
5138,58 0 0 0 25467 18870 0 107 
5138,82 0 0 0 25118 18816 0 107 
5138,11 0 0 0 24717 18794 0 107 
5137,85 0 0 0 24562 18777 0 108 
5137,69 0 0 0 24524 18736 0 106 
5138,55 0 0 0 24890 18718 0 107 
5139,49 0 0 0 25773 18687 0 107 
5139,33 0 0 0 26504 18656 0 107 
5138,79 0 0 0 26320 18630 0 108 
5138,28 0 0 0 25578 18620 0 106 
5138,86 0 0 0 24752 18599 0 109 
5139,53 0 0 0 24322 18563 0 107 
5140,64 0 0 0 24654 18556 0 110 
5141,35 0 0 0 25020 18534 0 106 
5141,12 0 0 0 25621 18508 0 108 
5141,19 0 0 0 26106 18491 0 106 
5141,36 0 0 0 25853 18470 0 106 
5142,48 0 0 0 25114 18475 0 106 
5143,4 0 0 0 24472 18451 0 108 
5144,25 0 0 0 24008 18456 0 108 
5144,4 0 0 0 24036 18422 0 106 
5143,82 0 0 0 24770 18414 0 106 
5144,23 0 0 0 25394 18393 0 106 
5144,78 0 0 0 25904 18400 0 108 
5145,91 0 0 0 25810 18378 0 107 
5146,79 0 0 0 25403 18388 0 107 
5147,37 0 0 0 25032 18354 0 105 
5147,67 0 0 0 24720 18340 0 108 
5147,68 0 0 0 24669 18332 0 108 
5148,34 0 0 0 24952 18281 0 106 
5149,05 0 0 0 25278 18262 0 108 
5150,21 0 0 0 25686 18260 0 107 
5150,85 0 0 0 25886 18246 0 107 
5151,38 0 0 0 25574 18248 0 107 
5151,84 0 0 0 24933 18214 0 108 
5151,95 0 0 0 24394 18222 0 108 
5153,06 0 0 0 24259 18230 0 106 
5154,16 0 0 0 24416 18230 0 105 
5154,98 0 0 0 24976 18230 0 106 
5155,4 0 0 0 25580 18254 0 106 
5154,86 0 0 0 25929 18248 0 106 
5155,16 0 0 0 25902 18293 0 107 
5155,25 0 0 0 25456 18290 0 106 
5156,03 0 0 0 24866 18322 0 106 
5156,6 0 0 0 24428 18348 0 105 
5156,69 0 0 0 24923 18334 0 109 
5157,04 0 0 0 25321 18355 0 106 
5156,68 0 0 0 25713 18382 0 106 
5156,85 0 0 0 25844 18344 0 106 
5157,14 0 0 0 25640 18420 0 106 
5158,32 0 0 0 25187 18378 0 108 
5159,08 0 0 0 24680 18392 0 107 
5158,97 0 0 0 24452 18390 0 107 
5158,87 0 0 0 24744 18388 0 107 
5158,34 0 0 0 25489 18400 0 106 
5158,71 0 0 0 26097 18398 0 106 
5159,11 0 0 0 26144 18398 0 106 
5159,6 0 0 0 25850 18426 0 108 
5159,59 0 0 0 25387 18420 0 107 
5159,07 0 0 0 24957 18490 0 108 
5159,03 0 0 0 24897 18471 0 108 
5159,27 0 0 0 24942 18501 0 105 
5159,99 0 0 0 25330 18508 0 106 
5160,45 0 0 0 25513 18498 0 107 
5160,1 0 0 0 25560 18548 0 108 
5159,74 0 0 0 25305 18542 0 106 
5159,21 0 0 0 24854 18567 0 106 
5159,42 0 0 0 24790 18572 0 108 
5159,75 0 0 0 24882 18573 0 107 
5160,18 0 0 0 25321 18581 0 108 
5160,21 0 0 0 26090 18571 0 107 
5159,75 0 0 0 26575 18558 0 107 
5159,17 0 0 0 26210 18562 0 107 
5158,21 0 0 0 25625 18561 0 106 
5157,86 0 0 0 25080 18542 0 108 
5157,58 0 0 0 24726 18510 0 106 
5157,71 0 0 0 24785 18512 0 109 
5157,83 0 0 0 25058 18507 0 107 
5157,02 0 0 0 25421 18493 0 107 
5156,24 0 0 0 26081 18470 0 107 
5155,2 0 0 0 26424 18435 0 107 
5154,92 0 0 0 26090 18456 0 107 
5155,06 0 0 0 25439 18441 0 110 
5155,15 0 0 0 25045 18439 0 106 
5155,27 0 0 0 25494 18420 0 107 
5154,52 0 0 0 25984 18425 0 107 
5154,29 0 0 0 26368 18423 0 107 
5153,48 0 0 0 26690 18447 0 107 
5154,07 0 0 0 26553 18443 0 106 
5154,65 0 0 0 25846 18479 0 106 
5155,17 0 0 0 25616 18477 0 107 
5155 0 0 0 25586 18492 0 107 
5154,38 0 0 0 25476 18507 0 107 
5154,41 0 0 0 25360 18507 0 107 
5154,59 0 0 0 25755 18521 0 109 
5155,75 0 0 0 26093 18547 0 108 
5156,03 0 0 0 26168 18525 0 109 
5156,03 0 0 0 25888 18535 0 107 
5155,54 0 0 0 25266 18507 0 107 
5155,44 0 0 0 24853 18538 0 106 
5156,17 0 0 0 24956 18528 0 108 
5157,24 0 0 0 25219 18526 0 108 
5158,04 0 0 0 25584 18501 0 108 
5157,91 0 0 0 26214 18502 0 105 
5157,61 0 0 0 26408 18509 0 105 
5157,92 0 0 0 26314 18506 0 105 
5158,56 0 0 0 25854 18507 0 106 
5159,33 0 0 0 25442 18500 0 110 
5159,31 0 0 0 25106 18511 0 107 
5159,17 0 0 0 25208 18496 0 107 
5158,97 0 0 0 25650 18501 0 107 
5159,56 0 0 0 25981 18531 0 108 
5160,54 0 0 0 25910 18524 0 107 
5161,23 0 0 0 25690 18554 0 108 
5161,57 0 0 0 25318 18542 0 108 
5161,1 0 0 0 24984 18536 0 107 
5160,89 0 0 0 25134 18550 0 106 
5160,89 0 0 0 25302 18512 0 110 
5161,52 0 0 0 25667 18516 0 107 
5162,19 0 0 0 25977 18503 0 105 
5162,02 0 0 0 25960 18499 0 107 
5161,47 0 0 0 25604 18497 0 106 
5160,78 0 0 0 25156 18505 0 107 
5160,79 0 0 0 24708 18515 0 107 
5160,89 0 0 0 24432 18510 0 108 
5161,25 0 0 0 24449 18528 0 107 
5160,87 0 0 0 25080 18544 0 108 
5160,25 0 0 0 25682 18543 0 105 
5159,75 0 0 0 25896 18558 0 107 
5159,62 0 0 0 25525 18530 0 107 
5159,98 0 0 0 25218 18572 0 105 
5160,09 0 0 0 25424 18568 0 107 
5160,31 0 0 0 25480 18573 0 106 
5159,72 0 0 0 25345 18600 0 106 
5159,22 0 0 0 25486 18597 0 107 
5158,81 0 0 0 25872 18598 0 107 
5158,45 0 0 0 26037 18600 0 106 
5158,99 0 0 0 25941 18643 0 110 
5159,12 0 0 0 25476 18652 0 107 
5158,92 0 0 0 25094 18664 0 106 
5158,27 0 0 0 24842 18674 0 107 
5157,92 0 0 0 24947 18698 0 107 
5158,39 0 0 0 25774 18694 0 108 
5158,94 0 0 0 26944 18733 0 107 
5159,51 0 0 0 27942 18728 0 106 
5159,17 0 0 0 28903 18756 0 106 
5158,81 0 0 0 30441 18774 0 106 
5159,09 0 0 0 33235 18770 0 107 
5159,98 0 0 0 36739 18759 0 107 
5161,12 0 0 0 40004 18764 0 106 
5161,7 0 0 0 42419 18749 0 106 
5162,41 0 0 0 43709 18765 0 108 
5162,55 0 0 0 43431 18748 0 107 
5163,35 0 0 0 41921 18716 0 108 
5164,49 0 0 0 39419 18732 0 108 
5165,91 0 0 0 35984 18724 0 107 
5166,45 0 0 0 32552 18688 0 106 
5166,06 0 0 0 29526 18687 0 107 
5166,47 0 0 0 26866 18719 0 108 
5167,62 0 0 0 24863 18711 0 108 
5169,25 0 0 0 23261 18700 0 107 
5170,33 0 0 0 22214 18718 0 107 
5170,49 0 0 0 21508 18741 0 107 
5170,02 0 0 0 21165 18731 0 106 
5170,13 0 0 0 21450 18749 0 106 
5171,54 0 0 0 22210 18772 0 107 
5172,92 0 0 0 22777 18779 0 107 
5173,73 0 0 0 23092 18778 0 107 
5173,77 0 0 0 23391 18772 0 108 
5173,74 0 0 0 23244 18784 0 105 
5174,28 0 0 0 23150 18814 0 106 
5175,1 0 0 0 22848 18820 0 105 
5176,21 0 0 0 22440 18843 0 107 
5176,3 0 0 0 22410 18855 0 106 
5176,33 0 0 0 22901 18855 0 107 
5175,92 0 0 0 23453 18887 0 108 
5176,69 0 0 0 23622 18873 0 106 
5177,81 0 0 0 23460 18891 0 107 
5178,38 0 0 0 22986 18919 0 106 
5178,68 0 0 0 22663 18886 0 107 
5178,1 0 0 0 22712 18906 0 108 
5178,39 0 0 0 22884 18925 0 106 
5178,83 0 0 0 23205 18934 0 110 
5179,33 0 0 0 23726 18937 0 112 
5179,34 0 0 0 23864 18932 0 106 
5178,89 0 0 0 23704 18950 0 106 
5178,26 0 0 0 23394 18973 0 108 
5178,12 0 0 0 23104 18974 0 106 
5178,76 0 0 0 23026 18971 0 108 
5179,07 0 0 0 23306 18984 0 107 
5179,04 0 0 0 23252 19006 0 107 
5178,35 0 0 0 23564 18988 0 108 
5177,5 0 0 0 23868 18989 0 107 
5177,44 0 0 0 23944 18997 0 107 
5177,25 0 0 0 23563 18985 0 107 
5176,9 0 0 0 23301 18989 0 107 
5176,09 0 0 0 23513 18986 0 107 
5174,48 0 0 0 23881 18970 0 107 
5172,77 0 0 0 24222 18987 0 107 
5171,36 0 0 0 24762 18961 0 107 
5170,52 0 0 0 24968 18959 0 107 
5169,34 0 0 0 24440 18936 0 107 
5167,58 0 0 0 24276 18933 0 106 
5164,82 0 0 0 24102 18956 0 107 
5162,66 0 0 0 23903 18926 0 106 
5161,15 0 0 0 24216 18922 0 106 
5160,16 0 0 0 25232 18944 0 110 
5158,96 0 0 0 25942 18928 0 107 
5157,19 0 0 0 25731 18913 0 108 
5155,49 0 0 0 24988 18917 0 106 
5154,05 0 0 0 24078 18942 0 108 
5153,51 0 0 0 23574 18961 0 107 
5152,69 0 0 0 23438 18944 0 106 
5152,17 0 0 0 23802 18961 0 107 
5151,09 0 0 0 24427 18980 0 106 
5149,67 0 0 0 24840 19005 0 108 
5148,67 0 0 0 24937 19027 0 108 
5148,39 0 0 0 24490 19038 0 107 
5148,43 0 0 0 23988 19057 0 105 
5147,8 0 0 0 23892 19096 0 105 
5146,96 0 0 0 24353 19150 0 107 
5146,12 0 0 0 24791 19171 0 107 
5146,08 0 0 0 25213 19208 0 107 
5146,37 0 0 0 25414 19271 0 107 
5146,71 0 0 0 25464 19302 0 106 
5147,05 0 0 0 25387 19372 0 109 
5146,74 0 0 0 25318 19454 0 107 
5146,64 0 0 0 25177 19549 0 106 
5146,45 0 0 0 25229 19587 0 106 
5147,02 0 0 0 25504 19682 0 108 
5148,17 0 0 0 25924 19744 0 108 
5149,25 0 0 0 25934 19818 0 107 
5149,76 0 0 0 25624 19889 0 108 
5149,45 0 0 0 25226 19984 0 105 
5150,13 0 0 0 24847 20088 0 106 
5151,06 0 0 0 24966 20182 0 107 
5152,42 0 0 0 25080 20290 0 106 
5153,97 0 0 0 25598 20373 0 107 
5154,78 0 0 0 25990 20460 0 107 
5155,63 0 0 0 26193 20551 0 107 
5155,8 0 0 0 26144 20663 0 106 
5156,77 0 0 0 26010 20715 0 107 
5157,62 0 0 0 26377 20802 0 108 
5159,44 0 0 0 26701 20877 0 107 
5160,9 0 0 0 26704 20934 0 107 
5161,85 0 0 0 26506 20987 0 107 
5162,59 0 0 0 26354 21092 0 108 
5163,09 0 0 0 26484 21134 0 107 
5164,34 0 0 0 26603 21209 0 106 
5165,91 0 0 0 26702 21246 0 105 
5167,46 0 0 0 26600 21311 0 105 
5168,01 0 0 0 26480 21317 0 106 
5168,03 0 0 0 26563 21367 0 108 
5168,33 0 0 0 26878 21418 0 107 
5168,95 0 0 0 27228 21464 0 107 
5170,28 0 0 0 27689 21480 0 108 
5171,08 0 0 0 28160 21568 0 107 
5171,68 0 0 0 28310 21578 0 106 
5171,6 0 0 0 28378 21602 0 106 
5171,15 0 0 0 28268 21656 0 108 
5170,8 0 0 0 28274 21674 0 106 
5170,79 0 0 0 28138 21692 0 106 
5171,29 0 0 0 28176 21734 0 106 
5171,32 0 0 0 28535 21718 0 107 
5170,96 0 0 0 28737 21767 0 107 
5170,16 0 0 0 28748 21770 0 107 
5168,98 0 0 0 28617 21808 0 106 
5168,67 0 0 0 28610 21814 0 105 
5168,39 0 0 0 28538 21878 0 105 
5168,49 0 0 0 28345 21876 0 107 
5167,78 0 0 0 28252 21931 0 106 
5167,15 0 0 0 28083 21963 0 106 
5166,26 0 0 0 28126 22010 0 107 
5165,45 0 0 0 28268 22072 0 106 
5165,03 0 0 0 28142 22119 0 107 
5165,05 0 0 0 27668 22177 0 108 
5165,1 0 0 0 27138 22258 0 108 
5164,42 0 0 0 26751 22349 0 106 
5163,93 0 0 0 26435 22414 0 107 
5162,63 0 0 0 26126 22490 0 106 
5161,94 0 0 0 25769 22564 0 107 
5161,62 0 0 0 25511 22679 0 106 
5161,38 0 0 0 25378 22733 0 106 
5161,33 0 0 0 25232 22814 0 108 
5160,53 0 0 0 25108 22944 0 106 
5159,8 0 0 0 24996 23000 0 108 
5159,18 0 0 0 24852 23069 0 105 
5158,82 0 0 0 24940 23163 0 109 
5158,56 0 0 0 24856 23200 0 108 
5158,18 0 0 0 24946 23288 0 107 
